project_root,mapper_interface,method_name,param_count,source_file,line_number
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","findDriverDeliveryAreaByPostCodeFf",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",380
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","findUnmatchedRegionWaybill",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",234
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","taskCreateDetailsList",2,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",374
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolMapper","updateWaybillAssignmentAbnormal",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolMapper.java",112
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","deleteByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",12
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","selectByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",18
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","updateByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",22
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.HubWaybillPoolRecordMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/HubWaybillPoolRecordMapper.java",20
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.RoutePlanAddressMapper","deleteByPrimaryKey",1,"cirro-system/src/main/java/com/cds/apple/mapper/RoutePlanAddressMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.RoutePlanAddressMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/RoutePlanAddressMapper.java",24
"D:\git\usCode\dbu-mod-delivery","com.cds.apple.mapper.RoutePlanAddressMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/apple/mapper/RoutePlanAddressMapper.java",28
"D:\git\usCode\dbu-mod-delivery","com.cds.arrival.mapper.ArrivalScanRecordMapper","arrivalScanRecordList",1,"cirro-system/src/main/java/com/cds/arrival/mapper/ArrivalScanRecordMapper.java",65
"D:\git\usCode\dbu-mod-delivery","com.cds.arrival.mapper.ArrivalScanWaybillMapper","update",1,"cirro-system/src/main/java/com/cds/arrival/mapper/ArrivalScanWaybillMapper.java",34
"D:\git\usCode\dbu-mod-delivery","com.cds.center.mapper.CenterReturnCustomerRecordMapper","insert",1,"cirro-system/src/main/java/com/cds/center/mapper/CenterReturnCustomerRecordMapper.java",20
"D:\git\usCode\dbu-mod-delivery","com.cds.center.mapper.CenterStoreWaybillMapper","getStoreWaybillByWaybillNoList",2,"cirro-system/src/main/java/com/cds/center/mapper/CenterStoreWaybillMapper.java",90
"D:\git\usCode\dbu-mod-delivery","com.cds.deliverynote.mapper.WaybillAccessControlMapper","getLastByWaybillNoAndNoteId",2,"cirro-system/src/main/java/com/cds/deliverynote/mapper/WaybillAccessControlMapper.java",66
"D:\git\usCode\dbu-mod-delivery","com.cds.driver.recall.mapper.DriverRecallInfoMapper","deleteByPrimaryKey",1,"cirro-system/src/main/java/com/cds/driver/recall/mapper/DriverRecallInfoMapper.java",14
"D:\git\usCode\dbu-mod-delivery","com.cds.driver.recall.mapper.DriverRecallInfoMapper","insert",1,"cirro-system/src/main/java/com/cds/driver/recall/mapper/DriverRecallInfoMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.driver.recall.mapper.DriverRecallInfoMapper","insertSelective",1,"cirro-system/src/main/java/com/cds/driver/recall/mapper/DriverRecallInfoMapper.java",18
"D:\git\usCode\dbu-mod-delivery","com.cds.driver.recall.mapper.DriverRecallInfoMapper","updateByPrimaryKeySelective",1,"cirro-system/src/main/java/com/cds/driver/recall/mapper/DriverRecallInfoMapper.java",23
"D:\git\usCode\dbu-mod-delivery","com.cds.dsp.mapper.TrackLastTimeMapper","insertOne",1,"cirro-system/src/main/java/com/cds/dsp/mapper/TrackLastTimeMapper.java",35
"D:\git\usCode\dbu-mod-delivery","com.cds.dsp.mapper.TrackLastTimeMapper","selectByPager",2,"cirro-system/src/main/java/com/cds/dsp/mapper/TrackLastTimeMapper.java",32
"D:\git\usCode\dbu-mod-delivery","com.cds.dsp.mapper.TrackLastTimeMapper","selectByWaybillNoList",1,"cirro-system/src/main/java/com/cds/dsp/mapper/TrackLastTimeMapper.java",37
"D:\git\usCode\dbu-mod-delivery","com.cds.dsp.mapper.TrackLogExternalMapper","insertOne",1,"cirro-system/src/main/java/com/cds/dsp/mapper/TrackLogExternalMapper.java",33
"D:\git\usCode\dbu-mod-delivery","com.cds.dsp.mapper.TrackLogExternalMapper","selectByPager",2,"cirro-system/src/main/java/com/cds/dsp/mapper/TrackLogExternalMapper.java",30
"D:\git\usCode\dbu-mod-delivery","com.cds.excpbill.mapper.MisExcpWaybillMapper","getExcpWaybillByNoAndTrackId",2,"cirro-system/src/main/java/com/cds/excpbill/mapper/MisExcpWaybillMapper.java",37
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.csr.mapper.FinCsrSpDetailMapper","updateFinCsrSpDetailList",1,"cirro-system/src/main/java/com/cds/finance/csr/mapper/FinCsrSpDetailMapper.java",65
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.clearance.LinClearanceAddfeeDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/clearance/LinClearanceAddfeeDetailMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.clearance.LinClearanceAddfeeWaybillDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/clearance/LinClearanceAddfeeWaybillDetailMapper.java",14
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.clearance.LinClearanceBillMapper","saveOne",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/clearance/LinClearanceBillMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.clearance.LinClearanceBillMapper","setOrigFileInfo",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/clearance/LinClearanceBillMapper.java",20
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.clearance.LinClearanceDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/clearance/LinClearanceDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierAdjustmentDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierAdjustmentDetailMapper.java",13
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierAdjustmentMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierAdjustmentMapper.java",14
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierBillMapper","saveOne",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierBillMapper.java",19
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierBillMapper","setOrigFileInfo",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierBillMapper.java",24
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierCompensateDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierCompensateDetailMapper.java",15
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierDetailMapper","dearWithWaybill",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierDetailMapper.java",21
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.courier.LinCourierDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/courier/LinCourierDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerAdjustmentDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerAdjustmentDetailMapper.java",13
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerAdjustmentMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerAdjustmentMapper.java",13
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerBillMapper","saveOne",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerBillMapper.java",19
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerBillMapper","setOrigFileInfo",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerBillMapper.java",24
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerCompensateDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerCompensateDetailMapper.java",14
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerConcealDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerConcealDetailMapper.java",14
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerOverweightDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerOverweightDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerReSendDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerReSendDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerSendDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerSendDetailMapper.java",14
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.customer.LinCustomerTimeoutDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/customer/LinCustomerTimeoutDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.generation.LinGenerationBillDetailMapper","saveBatch",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/generation/LinGenerationBillDetailMapper.java",16
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.generation.LinGenerationBillMapper","saveOne",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/generation/LinGenerationBillMapper.java",17
"D:\git\usCode\dbu-mod-delivery","com.cds.finance.importbill.mapper.generation.LinGenerationBillMapper","setOrigFileInfo",1,"cirro-system/src/main/java/com/cds/finance/importbill/mapper/generation/LinGenerationBillMapper.java",22
